nflId,club,frameId,x,y,x_velocity,y_velocity,xy_velocity,o
38868.0,SF,1,86.39,29.52,,,,92.53
38868.0,SF,2,86.37,29.51,-0.2000020000199604,-0.1000010000099802,0.20000200002000018,91.69
38868.0,SF,3,86.36,29.5,-0.09999900001005105,-0.09999900001001552,0.1999980000199998,91.08
38868.0,SF,4,86.35,29.49,-0.10000000000005116,-0.10000000000001563,0.09999999999999999,91.08
38868.0,SF,5,86.34,29.48,-0.10000100000990915,-0.1000010000099802,0.20000200002000018,91.08
38868.0,SF,6,86.32,29.47,-0.1999980000201021,-0.09999900001001552,0.1999980000199998,90.43
38868.0,SF,7,86.3,29.47,-0.2000020000199604,0.0,0.20000200002000018,90.43
38868.0,SF,8,86.28,29.45,-0.19999800001996,-0.19999800001999551,0.2999970000299997,90.43
38868.0,SF,9,86.25,29.43,-0.30000000000001137,-0.19999999999999574,0.39999999999999997,90.43
38868.0,SF,10,86.21,29.42,-0.4000040000400629,-0.1000010000099802,0.40000400004000036,90.43
38868.0,SF,11,86.16,29.4,-0.49999500004997105,-0.19999800002003104,0.49999500004999947,91.2
38868.0,SF,12,86.1,29.39,-0.6000060000600234,-0.1000010000099802,0.6000060000600006,90.18
38868.0,SF,13,86.04,29.37,-0.59999400005988,-0.19999800001999551,0.5999940000599994,89.46
38868.0,SF,14,85.99,29.36,-0.5000000000001137,-0.10000000000001563,0.5,89.46
38868.0,SF,15,85.95,29.35,-0.4000040000399208,-0.1000010000099802,0.40000400004000036,92.51
38868.0,SF,16,85.92,29.34,-0.29999700003001106,-0.09999900001001552,0.2999970000299997,93.09
38868.0,SF,17,85.91,29.3,-0.10000100001005126,-0.40000400003999187,0.3000030000300003,93.9
38868.0,SF,18,85.94,29.26,0.29999700003001106,-0.39999600003999103,0.5999940000599994,89.93
38868.0,SF,19,86.01,29.2,0.7000000000000739,-0.6000000000000227,0.8999999999999999,94.19
38868.0,SF,20,86.12,29.12,1.1000110001099954,-0.8000080000799837,1.3000130001300012,95.38
38868.0,SF,21,86.27,29.03,1.499985000149913,-0.8999910000899977,1.799982000179998,96.73
38868.0,SF,22,86.47,28.93,2.0000200002000303,-1.0000100001000152,2.300023000230002,98.97
38868.0,SF,23,86.71,28.8,2.3999760002399464,-1.2999870001299887,2.6999730002699973,98.97
38868.0,SF,24,86.98,28.65,2.7000000000001023,-1.5000000000000213,3.0999999999999996,96.88
38868.0,SF,25,87.29,28.48,3.1000310003100258,-1.7000170001699833,3.6000360003600034,98.02
38868.0,SF,26,87.64,28.3,3.4999650003499396,-1.7999820001799953,3.9999600003999958,101.83
38868.0,SF,27,88.02,28.08,3.800038000379958,-2.2000220002200264,4.300043000430004,99.78
38868.0,SF,28,88.42,27.87,3.9999600004000526,-2.099979000209971,4.599954000459995,99.78
38868.0,SF,29,88.84,27.64,4.200000000000017,-2.3000000000000043,4.8,101.13
38868.0,SF,30,89.29,27.42,4.500045000450033,-2.200022000219991,5.000050000500004,101.13
38868.0,SF,31,89.74,27.19,4.499955000449882,-2.299977000230002,5.099949000509994,98.94
38868.0,SF,32,90.21,26.97,4.7000470004699935,-2.2000220002200264,5.100051000510005,100.07
38868.0,SF,33,90.67,26.79,4.599954000460075,-1.7999820001799953,4.999950000499995,98.25
38868.0,SF,34,91.13,26.62,4.5999999999999375,-1.6999999999999815,4.8999999999999995,96.44
38868.0,SF,35,91.58,26.45,4.500045000450033,-1.7000170001700188,4.800048000480005,95.78
38868.0,SF,36,92.02,26.29,4.399956000439973,-1.5999840001599996,4.6999530004699945,96.42
38868.0,SF,37,92.46,26.13,4.400044000439982,-1.600016000160003,4.600046000460004,98.14
38868.0,SF,38,92.88,25.97,4.199958000420013,-1.5999840001599996,4.4999550004499955,100.2
38868.0,SF,39,93.28,25.79,4.000000000000057,-1.7999999999999972,4.3999999999999995,103.17
38868.0,SF,40,93.63,25.58,3.5000350003499463,-2.1000210002100106,4.100041000410004,110.83
38868.0,SF,41,93.96,25.36,3.2999670003299792,-2.1999780002199865,3.899961000389996,118.96
38868.0,SF,42,94.25,25.11,2.9000290002900653,-2.500025000250002,3.800038000380004,126.29
38868.0,SF,43,94.48,24.82,2.2999770002300375,-2.8999710002899883,3.699963000369996,131.04
38868.0,SF,44,94.67,24.5,1.8999999999999773,-3.200000000000003,3.6999999999999997,138.33
38868.0,SF,45,94.78,24.14,1.1000110001099954,-3.6000360003599976,3.7000370003700036,146.82
38868.0,SF,46,94.83,23.76,0.49999500004997105,-3.799962000379986,3.799962000379996,153.03
38868.0,SF,47,94.8,23.36,-0.3000030000300117,-4.000040000400025,4.000040000400004,156.41
38868.0,SF,48,94.7,22.94,-0.9999900000999421,-4.1999580004199775,4.299957000429996,163.35
38868.0,SF,49,94.57,22.52,-1.3000000000000966,-4.200000000000017,4.3999999999999995,169.66
38868.0,SF,50,94.48,22.17,-0.9000090000898928,-3.500035000349982,3.6000360003600034,165.97
38868.0,SF,51,94.31,21.79,-1.6999830001700151,-3.7999620003800216,4.199958000419995,169.42
38868.0,SF,52,94.15,21.44,-1.6000160001599675,-3.500035000349982,3.900039000390004,171.6
38868.0,SF,53,93.98,21.12,-1.6999830001700151,-3.1999680003199993,3.599964000359996,167.17
38868.0,SF,54,93.81,20.83,-1.700000000000017,-2.900000000000027,3.3,168.82
38868.0,SF,55,93.67,20.58,-1.400014000140007,-2.500025000250002,2.9000290002900027,160.84
