,nflId,frechet_distance,play_id,game_id,week_num,displayName,position,gameId,playId,passResult,expectedPointsAdded,defensiveTeam
0,43306.0,24.637667504792233,68,2022102700,8,Keanu Neal,FS,2022102700,68,C,1.618831608,TB
1,47877.0,2.6113675938497605,68,2022102700,8,Jamel Dean,CB,2022102700,68,C,1.618831608,TB
2,47882.0,23.720623112813847,68,2022102700,8,Mike Edwards,FS,2022102700,68,C,1.618831608,TB
3,54622.0,12.610418948578037,68,2022102700,8,Zyon McCollum,CB,2022102700,68,C,1.618831608,TB
4,43306.0,9.52340977334162,97,2022102700,8,Keanu Neal,FS,2022102700,97,C,0.112389488,TB
5,46699.0,4.434565893486889,97,2022102700,8,Dee Delaney,CB,2022102700,97,C,0.112389488,TB
6,47877.0,7.255003364252932,97,2022102700,8,Jamel Dean,CB,2022102700,97,C,0.112389488,TB
7,47882.0,8.887145849047544,97,2022102700,8,Mike Edwards,FS,2022102700,97,C,0.112389488,TB
8,54622.0,11.669049138029296,97,2022102700,8,Zyon McCollum,CB,2022102700,97,C,0.112389488,TB
9,43306.0,10.200051952381067,121,2022102700,8,Keanu Neal,FS,2022102700,121,C,-1.326396831,TB
10,46699.0,8.096324758980085,121,2022102700,8,Dee Delaney,CB,2022102700,121,C,-1.326396831,TB
11,47877.0,21.525612640681118,121,2022102700,8,Jamel Dean,CB,2022102700,121,C,-1.326396831,TB
12,47882.0,20.61682128726312,121,2022102700,8,Mike Edwards,FS,2022102700,121,C,-1.326396831,TB
13,54622.0,19.157532528270522,121,2022102700,8,Zyon McCollum,CB,2022102700,121,C,-1.326396831,TB
14,43306.0,2.819110090127399,222,2022102700,8,Keanu Neal,FS,2022102700,222,C,-0.0923284,TB
15,47877.0,0.5077333499281095,222,2022102700,8,Jamel Dean,CB,2022102700,222,C,-0.0923284,TB
16,47882.0,5.286296479784626,222,2022102700,8,Mike Edwards,FS,2022102700,222,C,-0.0923284,TB
17,54622.0,2.115621081360452,222,2022102700,8,Zyon McCollum,CB,2022102700,222,C,-0.0923284,TB
18,42361.0,8.544827008487076,324,2022102700,8,Marcus Peters,CB,2022102700,324,,0.679693944,BAL
19,44828.0,5.17760625239962,324,2022102700,8,Marlon Humphrey,CB,2022102700,324,,0.679693944,BAL
20,44999.0,4.69670040321264,324,2022102700,8,Chuck Clark,SS,2022102700,324,,0.679693944,BAL
21,52627.0,7.607137559316882,324,2022102700,8,Geno Stone,SS,2022102700,324,,0.679693944,BAL
22,54606.0,4.164828521674117,324,2022102700,8,Damarion Williams,CB,2022102700,324,,0.679693944,BAL
23,42361.0,4.871116269025133,345,2022102700,8,Marcus Peters,CB,2022102700,345,,0.784790395,BAL
24,44828.0,12.854486821331074,345,2022102700,8,Marlon Humphrey,CB,2022102700,345,,0.784790395,BAL
25,44999.0,3.5703285849756714,345,2022102700,8,Chuck Clark,SS,2022102700,345,,0.784790395,BAL
26,52627.0,5.711027349858719,345,2022102700,8,Geno Stone,SS,2022102700,345,,0.784790395,BAL
27,54606.0,3.424287619913904,345,2022102700,8,Damarion Williams,CB,2022102700,345,,0.784790395,BAL
28,42361.0,1.0432390182335367,366,2022102700,8,Marcus Peters,CB,2022102700,366,C,0.891739721,BAL
29,44828.0,2.346166270970677,366,2022102700,8,Marlon Humphrey,CB,2022102700,366,C,0.891739721,BAL
30,44999.0,0.587304395568585,366,2022102700,8,Chuck Clark,SS,2022102700,366,C,0.891739721,BAL
31,52627.0,2.9172389980838247,366,2022102700,8,Geno Stone,SS,2022102700,366,C,0.891739721,BAL
32,42361.0,19.368391379670015,390,2022102700,8,Marcus Peters,CB,2022102700,390,C,2.436911618,BAL
33,44828.0,30.27893426661591,390,2022102700,8,Marlon Humphrey,CB,2022102700,390,C,2.436911618,BAL
34,44999.0,28.160575275392507,390,2022102700,8,Chuck Clark,SS,2022102700,390,C,2.436911618,BAL
35,52627.0,33.877914698279795,390,2022102700,8,Geno Stone,SS,2022102700,390,C,2.436911618,BAL
36,54606.0,23.271684290090967,390,2022102700,8,Damarion Williams,CB,2022102700,390,C,2.436911618,BAL
37,42361.0,4.155237658666467,419,2022102700,8,Marcus Peters,CB,2022102700,419,,-0.85767197,BAL
38,44828.0,22.26397682374002,419,2022102700,8,Marlon Humphrey,CB,2022102700,419,,-0.85767197,BAL
39,44999.0,1.7434773019800327,419,2022102700,8,Chuck Clark,SS,2022102700,419,,-0.85767197,BAL
40,52627.0,9.674814419031447,419,2022102700,8,Geno Stone,SS,2022102700,419,,-0.85767197,BAL
41,42361.0,2.2518764417186334,473,2022102700,8,Marcus Peters,CB,2022102700,473,,0.361618,BAL
42,44828.0,8.195794572122258,473,2022102700,8,Marlon Humphrey,CB,2022102700,473,,0.361618,BAL
43,44999.0,4.750045884435509,473,2022102700,8,Chuck Clark,SS,2022102700,473,,0.361618,BAL
44,52627.0,12.353409677834389,473,2022102700,8,Geno Stone,SS,2022102700,473,,0.361618,BAL
45,54606.0,9.3663411232443,473,2022102700,8,Damarion Williams,CB,2022102700,473,,0.361618,BAL
46,42361.0,2.9851973357050063,494,2022102700,8,Marcus Peters,CB,2022102700,494,,0.674435765,BAL
47,44828.0,2.181951847648034,494,2022102700,8,Marlon Humphrey,CB,2022102700,494,,0.674435765,BAL
48,44999.0,1.5026119699795628,494,2022102700,8,Chuck Clark,SS,2022102700,494,,0.674435765,BAL
49,52627.0,0.9779547453621197,494,2022102700,8,Geno Stone,SS,2022102700,494,,0.674435765,BAL
50,43306.0,1.4940148236968942,549,2022102700,8,Keanu Neal,FS,2022102700,549,C,-0.181973168,TB
51,47877.0,0.9720775989859739,549,2022102700,8,Jamel Dean,CB,2022102700,549,C,-0.181973168,TB
52,47882.0,0.9678063746433356,549,2022102700,8,Mike Edwards,FS,2022102700,549,C,-0.181973168,TB
53,54622.0,1.4184822519541356,549,2022102700,8,Zyon McCollum,CB,2022102700,549,C,-0.181973168,TB
54,43306.0,5.36451259514445,573,2022102700,8,Keanu Neal,FS,2022102700,573,,-1.131725853,TB
55,47877.0,2.104244053150729,573,2022102700,8,Jamel Dean,CB,2022102700,573,,-1.131725853,TB
56,47882.0,2.542217615637973,573,2022102700,8,Mike Edwards,FS,2022102700,573,,-1.131725853,TB
57,54622.0,3.884403791182938,573,2022102700,8,Zyon McCollum,CB,2022102700,573,,-1.131725853,TB
58,42361.0,3.905510417835499,641,2022102700,8,Marcus Peters,CB,2022102700,641,,-0.495055268,BAL
59,44828.0,8.415348648812216,641,2022102700,8,Marlon Humphrey,CB,2022102700,641,,-0.495055268,BAL
60,44999.0,3.46258053336623,641,2022102700,8,Chuck Clark,SS,2022102700,641,,-0.495055268,BAL
61,52627.0,1.9273076597932106,641,2022102700,8,Geno Stone,SS,2022102700,641,,-0.495055268,BAL
62,42361.0,9.129933366231052,662,2022102700,8,Marcus Peters,CB,2022102700,662,C,2.010207671,BAL
63,44828.0,8.781967256932347,662,2022102700,8,Marlon Humphrey,CB,2022102700,662,C,2.010207671,BAL
64,44999.0,11.41937706139968,662,2022102700,8,Chuck Clark,SS,2022102700,662,C,2.010207671,BAL
65,52627.0,12.214862608393648,662,2022102700,8,Geno Stone,SS,2022102700,662,C,2.010207671,BAL
66,54606.0,10.124173724717275,662,2022102700,8,Damarion Williams,CB,2022102700,662,C,2.010207671,BAL
67,42361.0,8.476672684797668,686,2022102700,8,Marcus Peters,CB,2022102700,686,C,0.721428396,BAL
68,44828.0,7.110590541531877,686,2022102700,8,Marlon Humphrey,CB,2022102700,686,C,0.721428396,BAL
69,44999.0,7.626447087697851,686,2022102700,8,Chuck Clark,SS,2022102700,686,C,0.721428396,BAL
70,52627.0,7.994196409774766,686,2022102700,8,Geno Stone,SS,2022102700,686,C,0.721428396,BAL
71,54606.0,4.958720458362001,686,2022102700,8,Damarion Williams,CB,2022102700,686,C,0.721428396,BAL
72,42361.0,14.513494465743127,710,2022102700,8,Marcus Peters,CB,2022102700,710,,-0.176919748,BAL
73,44828.0,5.428472099943565,710,2022102700,8,Marlon Humphrey,CB,2022102700,710,,-0.176919748,BAL
74,44999.0,19.826777521720704,710,2022102700,8,Chuck Clark,SS,2022102700,710,,-0.176919748,BAL
75,52627.0,17.697821379730094,710,2022102700,8,Geno Stone,SS,2022102700,710,,-0.176919748,BAL
76,54606.0,16.804513196963747,710,2022102700,8,Damarion Williams,CB,2022102700,710,,-0.176919748,BAL
77,42361.0,6.177063173856211,731,2022102700,8,Marcus Peters,CB,2022102700,731,C,0.547730519,BAL
78,44828.0,3.336321744768001,731,2022102700,8,Marlon Humphrey,CB,2022102700,731,C,0.547730519,BAL
79,44999.0,6.760923405600623,731,2022102700,8,Chuck Clark,SS,2022102700,731,C,0.547730519,BAL
80,52627.0,4.266077111978974,731,2022102700,8,Geno Stone,SS,2022102700,731,C,0.547730519,BAL
81,42361.0,10.243577045146415,755,2022102700,8,Marcus Peters,CB,2022102700,755,C,0.419358186,BAL
82,44828.0,9.449983282382659,755,2022102700,8,Marlon Humphrey,CB,2022102700,755,C,0.419358186,BAL
83,44999.0,3.548576769770215,755,2022102700,8,Chuck Clark,SS,2022102700,755,C,0.419358186,BAL
84,52627.0,6.058900220846032,755,2022102700,8,Geno Stone,SS,2022102700,755,C,0.419358186,BAL
85,54606.0,3.5554044880915536,755,2022102700,8,Damarion Williams,CB,2022102700,755,C,0.419358186,BAL
86,42361.0,1.902487807122157,779,2022102700,8,Marcus Peters,CB,2022102700,779,C,-0.923357421,BAL
