nflId,displayName,position,defensiveTeam,total_frechet,average_frechet,average_yac_diff,total_yac_diff,average_yac,total_yac,average_comp_yac_epa,total_comp_yac_epa,number_of_plays,number_of_games,average_player_pasta,team_abbr,team_name,team_id,team_nick,team_conf,team_division,team_color,team_color2,team_color3,team_color4,team_logo_wikipedia,team_logo_espn,team_wordmark,team_conference_logo,team_league_logo
35459.0,Kareem Jackson,SS,DEN,1555.1576831723546,6.245613185431143,1.5020583,357.48987,4.3613443,1038.0,0.49634296,123.58939,177,8,0.6476375117488479,DEN,Denver Broncos,1400,Broncos,AFC,AFC West,#002244,#FB4F14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/DEN.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
42030.0,K'Waun Williams,CB,DEN,1209.1480944865411,6.792966822958096,1.5859298,275.95178,4.5689654,795.0,0.54794145,97.53358,139,8,0.5507730106367126,DEN,Denver Broncos,1400,Broncos,AFC,AFC West,#002244,#FB4F14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/DEN.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
42393.0,Ronald Darby,CB,DEN,1219.3454243492376,7.717376103476187,1.3627468,207.13753,4.3223686,657.0,0.43966004,69.466286,88,5,0.7100477659451252,DEN,Denver Broncos,1400,Broncos,AFC,AFC West,#002244,#FB4F14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/DEN.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
43387.0,Justin Simmons,FS,DEN,1064.0156927475018,6.4485799560454655,1.943642,305.1518,4.356688,684.0,0.49311742,81.36437,96,4,0.5174571544288834,DEN,Denver Broncos,1400,Broncos,AFC,AFC West,#002244,#FB4F14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/DEN.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
48447.0,P.J. Locke,FS,DEN,75.17831138161257,5.369879384400898,2.255526,29.321838,3.7692308,49.0,0.08676263,1.2146769,11,5,0.4718815850742274,DEN,Denver Broncos,1400,Broncos,AFC,AFC West,#002244,#FB4F14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/DEN.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
52764.0,Essang Bassey,CB,DEN,96.06655751562371,5.337030973090206,0.45339486,7.7077127,4.1764708,71.0,0.28107646,5.0593762,18,3,0.39037722021748844,DEN,Denver Broncos,1400,Broncos,AFC,AFC West,#002244,#FB4F14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/DEN.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
53438.0,Patrick Surtain,CB,DEN,1938.3572770773806,8.110281494047618,1.4673516,336.0235,4.4235806,1013.0,0.51172674,122.30269,167,8,0.4553215122639902,DEN,Denver Broncos,1400,Broncos,AFC,AFC West,#002244,#FB4F14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/DEN.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
53581.0,Caden Sterns,FS,DEN,599.2764298155042,6.30817294542636,1.1449182,105.33247,3.8043478,350.0,0.43013278,40.862614,85,5,0.4096504615124148,DEN,Denver Broncos,1400,Broncos,AFC,AFC West,#002244,#FB4F14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/DEN.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
54580.0,Damarri Mathis,CB,DEN,764.3405106798914,7.493534418430308,1.8728212,179.79083,4.25,408.0,0.5439034,55.478146,102,6,0.4758969118718744,DEN,Denver Broncos,1400,Broncos,AFC,AFC West,#002244,#FB4F14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/DEN.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
35466.0,Devin McCourty,FS,NE,1461.7595321265778,7.130534303056478,-0.6538187,-130.76375,5.98,1196.0,0.70487374,144.49911,131,8,0.5177383727067314,NE,New England Patriots,3200,Patriots,AFC,AFC East,#002244,#C60C30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
42116.0,Adrian Phillips,SS,NE,921.1395619863501,6.72364643785657,-0.087778814,-11.937919,5.345588,727.0,0.54844624,75.13713,101,8,0.24546095118188116,NE,New England Patriots,3200,Patriots,AFC,AFC East,#002244,#C60C30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
43522.0,Jalen Mills,CB,NE,1022.4600257758262,6.771258448846531,0.17059833,25.589748,4.86,729.0,0.7089675,107.05409,83,7,0.4491980838499533,NE,New England Patriots,3200,Patriots,AFC,AFC East,#002244,#C60C30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
43700.0,Jonathan Jones,CB,NE,1357.5820320270589,8.758593755013283,-1.2594455,-190.17627,6.701987,1012.0,0.8135884,126.1062,95,7,0.3145718556079233,NE,New England Patriots,3200,Patriots,AFC,AFC East,#002244,#C60C30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
44837.0,Jabrill Peppers,SS,NE,671.7662847072231,8.293410922311397,-2.0699866,-159.38896,7.714286,594.0,0.90300333,73.14327,53,7,0.15206481767967733,NE,New England Patriots,3200,Patriots,AFC,AFC East,#002244,#C60C30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
52445.0,Kyle Dugger,FS,NE,995.8941201263907,7.432045672585005,-0.36919034,-47.625553,5.6511626,729.0,0.7455186,99.8995,70,6,0.3106319349575066,NE,New England Patriots,3200,Patriots,AFC,AFC East,#002244,#C60C30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
52991.0,Myles Bryant,CB,NE,1067.6963337456275,8.341377607387715,-0.9448996,-116.22266,6.0406504,743.0,0.7757602,99.2973,78,8,0.22066551144588223,NE,New England Patriots,3200,Patriots,AFC,AFC East,#002244,#C60C30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
53589.0,Shaun Wade,CB,NE,50.661208055495294,12.665302013873823,0.8964606,3.5858424,4.0,16.0,0.35250652,1.4100261,4,1,0.035873176965235426,NE,New England Patriots,3200,Patriots,AFC,AFC East,#002244,#C60C30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
53617.0,Joshuah Bledsoe,FS,NE,61.07809765316935,10.179682942194892,-10.157404,-60.944424,15.166667,91.0,1.0472544,6.2835264,6,2,-0.4301336636109723,NE,New England Patriots,3200,Patriots,AFC,AFC East,#002244,#C60C30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
54550.0,Marcus Jones,CB,NE,172.32770719889754,7.492509008647719,-1.1155443,-25.65752,6.9565215,160.0,0.80239105,18.454994,23,5,0.1479654350995431,NE,New England Patriots,3200,Patriots,AFC,AFC East,#002244,#C60C30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
54586.0,Jack Jones,CB,NE,971.7180248356282,9.52664730231008,-1.015771,-98.529785,6.5773196,638.0,0.51878804,52.91638,83,8,0.31258091714805253,NE,New England Patriots,3200,Patriots,AFC,AFC East,#002244,#C60C30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://github.com/nflverse/nflfastR-data/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflfastR-data/raw/master/AFC.png,https://raw.githubusercontent.com/nflverse/nflfastR-data/master/NFL.png
